scheme_id,scheme_name,department,eligibility_criteria,land_holding_limit,income_limit,required_documents,benefit_description,application_process,official_link,hindi_keywords,tamil_keywords,telugu_keywords
PMKISAN001,PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),Ministry of Agriculture and Farmers Welfare,All landholding farmer families with cultivable land; excludes institutional landholders and farmers who pay income tax,No upper limit but small/marginal farmers prioritized,Income tax payers excluded,"Aadhaar card, land ownership records (khatauni/khasra), bank account passbook, mobile number linked to Aadhaar",Rs 6000 per year in three equal installments of Rs 2000 directly to bank account via DBT,Apply online at pmkisan.gov.in or visit nearest Common Service Centre (CSC) with land documents and Aadhaar,https://pmkisan.gov.in,"kisan paisa nahi aaya, bank account, samman nidhi, pradhan mantri kisan",,
PMFBY002,PM Fasal Bima Yojana (Crop Insurance),Ministry of Agriculture and Farmers Welfare,All farmers including sharecroppers and tenant farmers growing notified crops in notified areas,No land limit,No income limit,"Land records or tenancy agreement, Aadhaar card, bank account details, sowing certificate",Insurance cover against crop loss due to natural calamities; premium as low as 2% for kharif and 1.5% for rabi crops,"Apply through bank, CSC, or insurance company before the cutoff date for the cropping season; loanee farmers auto-enrolled",https://pmfby.gov.in,"fasal kharab, baadh, sukha, crop insurance, fasal bima, natural calamity, faslon ka nuksan",,
KCC003,Kisan Credit Card,Ministry of Agriculture / NABARD,Farmers including tenant farmers oral lessees and sharecroppers; self-help group members,Based on cropping pattern and land holding,No fixed income limit,"Aadhaar card, land documents, passport size photo, identity proof",Short-term credit up to Rs 3 lakh at subsidized interest rate of 4 percent with timely repayment; covers crop production and allied activities,"Apply at any nationalized bank, regional rural bank, or cooperative bank branch with land and identity documents",https://www.myscheme.gov.in/schemes/kcc,"loan chahiye, karz, credit card kisan, paisa udhar, kisan credit",,
SMAM004,Sub-Mission on Agricultural Mechanization (SMAM),Ministry of Agriculture and Farmers Welfare,Individual farmers Farmer Producer Organizations and Self Help Groups,No specific land limit,No income limit specified but priority to small and marginal farmers,"Aadhaar card, land record, bank passbook, caste certificate if applicable for higher subsidy",Subsidy of 40 to 50 percent on purchase of farm machinery like tractors power tillers and harvesters,Apply through state agriculture department portal or DBT Agriculture Mechanization portal,https://agrimachinery.nic.in,"tractor chahiye, mशीन, machinery, krishi yantra, kheti ka samaan",,
SHC005,Soil Health Card Scheme,Ministry of Agriculture and Farmers Welfare,All farmers across India regardless of land size,No limit,No limit,"Land record or self declaration, Aadhaar card for registration",Free soil testing every 2 years with crop-wise nutrient and fertilizer recommendations to improve yield,Soil sample collected by local agriculture department; card issued free of cost through village level worker,https://soilhealth.dac.gov.in,"mitti jaanch, soil testing, khad, fertilizer salah",,
PMKSY006,PM Krishi Sinchai Yojana (Irrigation),Ministry of Agriculture and Jal Shakti,Farmers needing irrigation infrastructure including small and marginal farmers,No upper limit but small farmers prioritized for higher subsidy,No income limit,"Land ownership document, Aadhaar card, bank account, water source proof",Subsidy up to 55 percent for small farmers and 45 percent for other farmers on drip and sprinkler irrigation systems,Apply through state horticulture or agriculture department office or online state portal,https://pmksy.gov.in,"paani ki samasya, sinchai, irrigation, khet mein paani, drip sprinkler, paani ki kami",,
NFSM007,National Food Security Mission,Ministry of Agriculture and Farmers Welfare,Farmers growing rice wheat pulses coarse cereals or nutri-cereals in identified districts,No specific limit,No income limit,"Land record, Aadhaar card, bank account passbook",Subsidized seeds farm implements and training to increase production of food grains,Apply through Krishi Vigyan Kendra or block agriculture office,https://www.nfsm.gov.in,"anaaj, beej, seeds chahiye, food grain, krishi vigyan kendra",,
UJJWALA008,Pradhan Mantri Ujjwala Yojana,Ministry of Petroleum and Natural Gas,Women from BPL households without an existing LPG connection,Not land based,Household must be BPL or covered under SECC list,"Aadhaar card, BPL ration card or SECC verification, bank account passbook, passport size photo",Free LPG gas connection with first refill and stove provided; deposit-free connection,Apply at nearest LPG distributor with required documents or apply online at pmuy.gov.in,https://pmuy.gov.in,"gas connection, LPG, chulha, cooking gas, patni ke liye gas",,
MNREGA009,MGNREGA (Rural Employment Guarantee),Ministry of Rural Development,Any adult member of a rural household willing to do unskilled manual work,Not applicable,No income limit,"Aadhaar card, job card application form, bank or post office account",Guaranteed 100 days of wage employment per household per year in rural areas at notified wage rate,Apply for job card at Gram Panchayat office; work demanded in writing and must be provided within 15 days,https://nrega.nic.in,"kaam nahi hai, gaon mein rozgar, mazdoori, employment guarantee, kaam chahiye, naukri gaon mein",,
PMAYG010,PM Awas Yojana Gramin (Rural Housing),Ministry of Rural Development,Houseless families and households living in kutcha or dilapidated houses as per SECC data,Not land based,Must be in SECC 2011 deprivation list or Awaas+ survey,"Aadhaar card, SECC verification, bank account, MGNREGA job card if available",Financial assistance of Rs 1.2 lakh in plain areas and Rs 1.3 lakh in hilly areas for house construction,Apply through Gram Panchayat or check eligibility on PMAYG portal using Awaas+ app,https://pmayg.nic.in,"kaccha ghar, pakka ghar banana, ghar ke liye paisa, awas yojana, makaan",,
